corrupt,width,height,mean,std,near_black_pct,near_white_pct,blur_score,path,dataset
False,150,150,199.34194946289062,14.219871520996094,0.0,0.0,32.61752700805664,data/segmented/IITD/Left/085_1.bmp,IITD
False,150,150,194.18115234375,18.93668556213379,0.0,0.0,33.15892791748047,data/segmented/IITD/Left/085_2.bmp,IITD
False,150,150,187.9441375732422,26.689716339111328,0.0,0.0,36.485382080078125,data/segmented/IITD/Left/085_3.bmp,IITD
False,150,150,193.09071350097656,23.898176193237305,0.0,0.0,27.62026596069336,data/segmented/IITD/Left/085_4.bmp,IITD
False,150,150,190.87368774414062,31.224618911743164,0.0,0.0,21.665546417236328,data/segmented/IITD/Left/085_5.bmp,IITD
False,150,150,182.83737182617188,45.7997932434082,0.0,1.32,109.60608673095703,data/segmented/IITD/Left/201_3.bmp,IITD
False,150,150,184.8448944091797,25.662384033203125,0.0,0.0,115.59117889404297,data/segmented/IITD/Left/229_5.bmp,IITD
False,150,150,217.56085205078125,26.347185134887695,0.0,8.79111111111111,72.7507553100586,data/segmented/IITD/Right/040_3.bmp,IITD
False,150,150,196.63626098632812,38.74867630004883,0.0,1.2666666666666666,115.7412338256836,data/segmented/IITD/Right/041_1.bmp,IITD
False,150,150,193.44586181640625,39.36642074584961,0.0,2.0444444444444447,106.2613296508789,data/segmented/IITD/Right/041_4.bmp,IITD
False,150,150,190.3231964111328,38.603614807128906,0.0,2.4444444444444446,61.361549377441406,data/segmented/IITD/Right/041_5.bmp,IITD
False,150,150,205.4975128173828,28.98592185974121,0.0,4.186666666666667,98.19707489013672,data/segmented/IITD/Right/090_5.bmp,IITD
False,150,150,208.3067626953125,46.24272155761719,0.0,16.27111111111111,103.13337707519531,data/segmented/IITD/Right/104_1.bmp,IITD
False,150,150,192.86666870117188,31.846481323242188,0.0,0.1288888888888889,97.24004364013672,data/segmented/IITD/Right/225_2.bmp,IITD
False,128,128,78.87652587890625,7.34357213973999,0.0,0.0,6.546224117279053,data/segmented/Tongji/session1/00434.bmp,Tongji
False,128,128,80.35638427734375,6.747730731964111,0.0,0.0,6.583245277404785,data/segmented/Tongji/session1/00435.bmp,Tongji
False,128,128,87.67919921875,10.037928581237793,0.0,0.0,7.086447238922119,data/segmented/Tongji/session1/00439.bmp,Tongji
