path,dataset,session,hand,subject_id,palm_id,class_id,sample_id
data/segmented/IITD/Left/001_1.bmp,IITD,session1,Left,1,IITD_Left_001,0,IITD_session1_Left_001_1
data/segmented/IITD/Left/001_2.bmp,IITD,session1,Left,1,IITD_Left_001,0,IITD_session1_Left_001_2
data/segmented/IITD/Left/001_3.bmp,IITD,session1,Left,1,IITD_Left_001,0,IITD_session1_Left_001_3
data/segmented/IITD/Left/001_4.bmp,IITD,session1,Left,1,IITD_Left_001,0,IITD_session1_Left_001_4
data/segmented/IITD/Left/001_5.bmp,IITD,session1,Left,1,IITD_Left_001,0,IITD_session1_Left_001_5
data/segmented/IITD/Left/001_6.bmp,IITD,session1,Left,1,IITD_Left_001,0,IITD_session1_Left_001_6
data/segmented/IITD/Left/002_1.bmp,IITD,session1,Left,2,IITD_Left_002,1,IITD_session1_Left_002_1
data/segmented/IITD/Left/002_2.bmp,IITD,session1,Left,2,IITD_Left_002,1,IITD_session1_Left_002_2
data/segmented/IITD/Left/002_3.bmp,IITD,session1,Left,2,IITD_Left_002,1,IITD_session1_Left_002_3
data/segmented/IITD/Left/002_4.bmp,IITD,session1,Left,2,IITD_Left_002,1,IITD_session1_Left_002_4
data/segmented/IITD/Left/002_5.bmp,IITD,session1,Left,2,IITD_Left_002,1,IITD_session1_Left_002_5
data/segmented/IITD/Left/002_6.bmp,IITD,session1,Left,2,IITD_Left_002,1,IITD_session1_Left_002_6
data/segmented/IITD/Left/003_1.bmp,IITD,session1,Left,3,IITD_Left_003,2,IITD_session1_Left_003_1
data/segmented/IITD/Left/003_2.bmp,IITD,session1,Left,3,IITD_Left_003,2,IITD_session1_Left_003_2
data/segmented/IITD/Left/003_3.bmp,IITD,session1,Left,3,IITD_Left_003,2,IITD_session1_Left_003_3
data/segmented/IITD/Left/003_4.bmp,IITD,session1,Left,3,IITD_Left_003,2,IITD_session1_Left_003_4
data/segmented/IITD/Left/003_5.bmp,IITD,session1,Left,3,IITD_Left_003,2,IITD_session1_Left_003_5
data/segmented/IITD/Left/003_6.bmp,IITD,session1,Left,3,IITD_Left_003,2,IITD_session1_Left_003_6
data/segmented/IITD/Left/004_1.bmp,IITD,session1,Left,4,IITD_Left_004,3,IITD_session1_Left_004_1
data/segmented/IITD/Left/004_2.bmp,IITD,session1,Left,4,IITD_Left_004,3,IITD_session1_Left_004_2
data/segmented/IITD/Left/004_3.bmp,IITD,session1,Left,4,IITD_Left_004,3,IITD_session1_Left_004_3
data/segmented/IITD/Left/004_4.bmp,IITD,session1,Left,4,IITD_Left_004,3,IITD_session1_Left_004_4
data/segmented/IITD/Left/004_5.bmp,IITD,session1,Left,4,IITD_Left_004,3,IITD_session1_Left_004_5
data/segmented/IITD/Left/005_1.bmp,IITD,session1,Left,5,IITD_Left_005,4,IITD_session1_Left_005_1
data/segmented/IITD/Left/005_2.bmp,IITD,session1,Left,5,IITD_Left_005,4,IITD_session1_Left_005_2
data/segmented/IITD/Left/005_3.bmp,IITD,session1,Left,5,IITD_Left_005,4,IITD_session1_Left_005_3
data/segmented/IITD/Left/005_4.bmp,IITD,session1,Left,5,IITD_Left_005,4,IITD_session1_Left_005_4
data/segmented/IITD/Left/005_5.bmp,IITD,session1,Left,5,IITD_Left_005,4,IITD_session1_Left_005_5
data/segmented/IITD/Left/005_6.bmp,IITD,session1,Left,5,IITD_Left_005,4,IITD_session1_Left_005_6
data/segmented/IITD/Left/006_1.bmp,IITD,session1,Left,6,IITD_Left_006,5,IITD_session1_Left_006_1
data/segmented/IITD/Left/006_2.bmp,IITD,session1,Left,6,IITD_Left_006,5,IITD_session1_Left_006_2
data/segmented/IITD/Left/006_3.bmp,IITD,session1,Left,6,IITD_Left_006,5,IITD_session1_Left_006_3
data/segmented/IITD/Left/006_4.bmp,IITD,session1,Left,6,IITD_Left_006,5,IITD_session1_Left_006_4
data/segmented/IITD/Left/006_5.bmp,IITD,session1,Left,6,IITD_Left_006,5,IITD_session1_Left_006_5
data/segmented/IITD/Left/006_6.bmp,IITD,session1,Left,6,IITD_Left_006,5,IITD_session1_Left_006_6
data/segmented/IITD/Left/007_1.bmp,IITD,session1,Left,7,IITD_Left_007,6,IITD_session1_Left_007_1
data/segmented/IITD/Left/007_2.bmp,IITD,session1,Left,7,IITD_Left_007,6,IITD_session1_Left_007_2
data/segmented/IITD/Left/007_3.bmp,IITD,session1,Left,7,IITD_Left_007,6,IITD_session1_Left_007_3
data/segmented/IITD/Left/007_4.bmp,IITD,session1,Left,7,IITD_Left_007,6,IITD_session1_Left_007_4
data/segmented/IITD/Left/007_5.bmp,IITD,session1,Left,7,IITD_Left_007,6,IITD_session1_Left_007_5
data/segmented/IITD/Left/007_6.bmp,IITD,session1,Left,7,IITD_Left_007,6,IITD_session1_Left_007_6
data/segmented/IITD/Left/008_1.bmp,IITD,session1,Left,8,IITD_Left_008,7,IITD_session1_Left_008_1
data/segmented/IITD/Left/008_2.bmp,IITD,session1,Left,8,IITD_Left_008,7,IITD_session1_Left_008_2
data/segmented/IITD/Left/008_3.bmp,IITD,session1,Left,8,IITD_Left_008,7,IITD_session1_Left_008_3
data/segmented/IITD/Left/008_4.bmp,IITD,session1,Left,8,IITD_Left_008,7,IITD_session1_Left_008_4
data/segmented/IITD/Left/008_5.bmp,IITD,session1,Left,8,IITD_Left_008,7,IITD_session1_Left_008_5
data/segmented/IITD/Left/008_6.bmp,IITD,session1,Left,8,IITD_Left_008,7,IITD_session1_Left_008_6
